Version,Slot ID,LiDAR Index,Rsvd,Error Code,Timestamp Type,Data Type,Timestamp,X,Y,Z,Reflectivity,Tag,Ori_x,Ori_y,Ori_z,Ori_radius,Ori_theta,Ori_phi
5,1,1,0,0x00000000,0,2,3160544639680,22.321,-2.041,0.615,65,16,22321,-2041,615,0,0,0
5,1,1,0,0x00000000,0,2,3160544639680,22.312,-2.183,0.677,29,16,22312,-2183,677,0,0,0
5,1,1,0,0x00000000,0,2,3160544639680,22.223,-2.319,0.735,1,16,22223,-2319,735,0,0,0
5,1,1,0,0x00000000,0,2,3160555420660,22.325,-2.156,0.746,16,16,22325,-2156,746,0,0,0
5,1,1,0,0x00000000,0,2,3160555420660,22.345,-2.029,0.654,86,16,22345,-2029,654,0,0,0
5,1,1,0,0x00000000,0,2,3160567403060,22.46,-1.918,0.556,10,16,22460,-1918,556,0,0,0
5,1,1,0,0x00000000,0,2,3160567801580,22.407,-2.071,0.573,87,16,22407,-2071,573,0,0,0
5,1,1,0,0x00000000,0,2,3160578582720,22.438,-2.083,0.557,26,16,22438,-2083,557,0,0,0
5,1,1,0,0x00000000,0,2,3160578582720,22.389,-1.926,0.516,12,16,22389,-1926,516,0,0,0
5,1,1,0,0x00000000,0,2,3160590961020,22.467,-1.867,0.631,27,16,22467,-1867,631,0,0,0
5,1,1,0,0x00000000,0,2,3160590961020,22.324,-2.008,0.594,56,16,22324,-2008,594,0,0,0
5,1,1,0,0x00000000,0,2,3160601740520,22.355,-2.028,0.574,17,16,22355,-2028,574,0,0,0
5,1,1,0,0x00000000,0,2,3160601740520,22.432,-1.878,0.588,5,16,22432,-1878,588,0,0,0
